SRR32635209	SRR32635208	SRR32635207	SRR32635206	SRR32635205	SRR32635204
TSPAN6	0	0	0	0	0	0
TNMD	0.922341645499739	0	0	0	0	0
DPM1	2830.6665100387	2802.49538281478	3243.75278810035	1839.66798735405	2336.71075990654	3900.99700701577
SCYL3	0	0	0	0	0	0
FIRRM	589.376311474333	573.557298776788	553.762158217755	371.837895372218	434.272800844769	552.273437604785
FGR	0.922341645499739	0	0	0	0	1.13170786394423
CFH	0	0	0	0	0	0
FUCA2	0	0	0	0	0	0
GCLC	234.274777956934	288.285367336144	220.292245422391	213.806789839025	253.721745788957	158.439100952192
NFYA	1119.72275763668	1126.02054628508	1168.15520967103	877.537433078434	830.534853256736	776.351594665743
STPG1	93.1565061954736	103.461299078825	98.0199440640916	101.325826488929	82.6733778413455	69.0341797005982
NIPAL3	39.6606907564888	45.2015384324964	25.2628721814669	102.25542122736	61.7674662033041	29.42440446255
LAS1L	60.8745486029827	106.474734974325	70.7360421081073	45.5501421830967	57.0161226492038	69.0341797005982
ENPP4	60.8745486029827	58.2597606463287	49.5152294756751	29.7470316297774	39.9112858544427	98.4585841631482
SEMA3F	105.14694758697	87.3896409694931	113.177667372972	142.227994979873	168.197561815151	99.5902920270924
CFTR	0	0	0	0	0.950268710820064	0
ANKIB1	1069.9163087797	1209.39227272724	900.36876454748	764.126874989908	937.915217579403	1557.23002078726
CYP51A1	340.344067189404	344.536170718806	296.080861966792	56.7052790442632	121.634394984968	657.522268951599
KRIT1	0	0	0	0	0	0
RAD52	200.148137073443	169.75688877982	191.997828579148	164.538268702206	223.313147042715	186.731797550798
BAD	38.738349110989	35.1567521141639	41.4311103776057	82.7339317203185	59.866928781664	13.5804943673308
LAP3	1291.27830369963	1548.90605028688	1271.22772817141	1603.55092379269	1673.42319975413	1129.44444821634
CD99	1434.24125875209	1150.12803344908	1418.76290171118	885.903785724309	1020.58859542075	1161.13226840678
HS3ST1	0	0	0	0	0	0
AOC1	0	0	0	0	0	1.13170786394423
WNT16	0	0	0	0	0	2.26341572788846
HECW1	1.84468329099948	8.03582905466603	5.05257443629338	3.71837895372218	3.80107484328025	1.13170786394423
MAD1L1	528.50176287135	525.342324448792	510.310018065631	971.42650165992	712.701533115048	350.829437822712
LASP1	570.929478564338	714.184307233443	397.13235069266	1216.83951260558	1070.00256838339	263.687932299006
SNX11	197.381112136944	177.792717834486	173.808560608492	190.566921378262	164.396486971871	166.361055999802
TMEM176A	3.68936658199895	2.00895726366651	9.09463398532808	2.78878421529163	0.950268710820064	5.65853931972116
M6PR	6921.25170783004	7173.9863885531	6691.62958342695	7742.59457638801	7526.1281896949	5427.67091547654
KLHL13	123.593780496965	134.600136665656	122.2723013583	107.832989657943	114.982514009228	112.039078530479
CYP26B1	431.655890093878	381.701880096636	392.079776256366	480.600479768592	424.770113736568	284.058673850002
ICA1	42.427715692988	37.1657093778304	61.6414081227792	74.3675790744436	75.071228154785	125.61957289781
DBNDD1	82.0884064494767	53.2373674871625	69.7255272208486	93.889068581485	94.0766023711863	82.6146740679289
ALS2	635.49339374932	607.709572259119	539.614949796133	307.69585842051	397.212321122787	511.531954502793
CASP10	2.76702493649922	1.00447863183325	3.03154466177603	0	0	0
CFLAR	119.904413914966	92.4120341286593	151.577233088801	38.1133842756523	40.8615545652627	177.678134639244
TFPI	0	0	0	0	0	1.13170786394423
NDUFAF7	576.463528437337	640.857367109616	509.299503178373	308.625453158941	378.206946906385	553.405145468729
RBM5	989.672585621219	997.447281410421	1166.13417989651	893.340543631754	832.435390678376	975.532178719928
MTMR7	3.68936658199895	4.01791452733301	11.1156637598454	11.1551368611665	15.204299373121	37.3463595101597
SLC7A2	19.3691745554945	13.0582222138323	22.2313275196909	55.7756843058327	44.662629408543	30.5561123264943
ARF5	75.6320149309786	66.2955897009948	103.072518500385	161.749484486915	178.650517634172	102.985415618925
SARM1	19.3691745554945	20.0895726366651	30.3154466177603	20.451084245472	20.9059116380414	18.1073258231077
POLDIP2	72.8649899944793	84.3762050739933	56.5888336864859	37.1837895372218	45.612898119363	54.3219774693231
PLXND1	1291.27830369963	1047.67121300208	727.570718826247	1132.2463914084	1102.31170455127	1041.17123482869
AK2	0	0	0	0	0	0
CD38	0	0	1.01051488725868	0	0	0
FKBP4	6688.8216131641	7506.4688156899	5985.27967723314	8350.54953532158	8823.24497996429	6646.52028494447
KDM1A	33.2042992379906	57.2552820144955	42.4416252648644	43.6909527062356	41.8118232760828	43.0048988298808
RBM6	408.597348956384	472.104956961629	425.426767535903	405.303305955718	401.963664676887	353.0928535506
CAMKK1	10.1457581004971	11.0492649501658	9.09463398532808	2.78878421529163	2.85080613246019	15.8439100952192
RECQL	909.428862462742	973.339794246423	775.064918527405	608.884553672007	768.767387053431	706.185707101201
VPS50	17.524491264495	22.0985299003316	27.2839019559843	18.5918947686109	27.5577926137818	44.136606693825
HSPB6	0.922341645499739	0	1.01051488725868	0	0.950268710820064	1.13170786394423
ARHGAP33	3.68936658199895	9.04030768649928	3.03154466177603	11.1551368611665	5.70161226492038	4.52683145577693
NDUFAB1	246.26521934843	312.392854500142	381.97462738378	297.470316297774	327.842705232922	576.039302747614
PDK4	15.6798079734956	12.053743581999	19.1997828579148	13.0143263380276	22.8064490596815	16.9756179591635
SLC22A16	0.922341645499739	0	0	0	0	0
ZMYND10	0	2.00895726366651	1.01051488725868	0.929594738430545	0.950268710820064	2.26341572788846
ABCB5	3.68936658199895	1.00447863183325	1.01051488725868	0	0	0
